Original_ID,Allele,Strong Binder,Weak Binder,None,binder_type
CD19_l112_nonint_2659,HLA-A6823,2,4,98,de novo
CD19_l112_nonint_2659,HLA-A6901,2,7,95,de novo
CD19_l112_nonint_2659,HLA-A8001,1,4,99,de novo
CD19_l112_nonint_2659,HLA-B0702,2,1,101,de novo
CD19_l112_nonint_2659,HLA-B0801,2,0,102,de novo
CD19_l112_nonint_2659,HLA-B0802,2,5,97,de novo
CD19_l112_nonint_2659,HLA-B0803,4,6,94,de novo
CD19_l112_nonint_2659,HLA-B1402,1,7,96,de novo
CD19_l112_nonint_2659,HLA-B1501,0,4,100,de novo
CD19_l112_nonint_2659,HLA-B1502,3,3,98,de novo
CD19_l112_nonint_2659,HLA-B1503,0,5,99,de novo
CD19_l112_nonint_2659,HLA-B1509,0,3,101,de novo
CD19_l112_nonint_2659,HLA-B1517,1,6,97,de novo
CD19_l112_nonint_2659,HLA-B1801,0,2,102,de novo
CD19_l112_nonint_2659,HLA-B2705,0,0,104,de novo
CD19_l112_nonint_2659,HLA-B2720,0,2,102,de novo
CD19_l112_nonint_2659,HLA-B3501,1,1,102,de novo
CD19_l112_nonint_2659,HLA-B3503,1,2,101,de novo
CD19_l112_nonint_2659,HLA-B3801,0,0,104,de novo
CD19_l112_nonint_2659,HLA-B3901,0,1,103,de novo
CD19_l112_nonint_2659,HLA-B4001,0,1,103,de novo
CD19_l112_nonint_2659,HLA-B4002,1,0,103,de novo
CD19_l112_nonint_2659,HLA-B4013,0,3,101,de novo
CD19_l112_nonint_2659,HLA-B4201,0,2,102,de novo
CD19_l112_nonint_2659,HLA-B4402,0,1,103,de novo
CD19_l112_nonint_2659,HLA-B4403,0,1,103,de novo
CD19_l112_nonint_2659,HLA-B4501,2,2,100,de novo
CD19_l112_nonint_2659,HLA-B4601,0,3,101,de novo
CD19_l112_nonint_2659,HLA-B4801,0,3,101,de novo
CD19_l112_nonint_2659,HLA-B5101,0,2,102,de novo
CD19_l112_nonint_2659,HLA-B5301,1,1,102,de novo
CD19_l112_nonint_2659,HLA-B5401,0,1,103,de novo
CD19_l112_nonint_2659,HLA-B5701,1,1,102,de novo
CD19_l112_nonint_2659,HLA-B5801,1,2,101,de novo
CD19_l112_nonint_2659,HLA-B5802,1,1,102,de novo
CD19_l112_nonint_2659,HLA-B7301,0,3,101,de novo
CD19_l112_nonint_2659,HLA-B8301,1,3,100,de novo
CD19_l112_nonint_2659,HLA-C0303,0,8,96,de novo
CD19_l112_nonint_2659,HLA-C0401,1,4,99,de novo
CD19_l112_nonint_2659,HLA-C0501,4,3,97,de novo
CD19_l112_nonint_2659,HLA-C0602,1,5,98,de novo
CD19_l112_nonint_2659,HLA-C0701,1,5,98,de novo
CD19_l112_nonint_2659,HLA-C0702,0,5,99,de novo
CD19_l112_nonint_2659,HLA-C0802,4,3,97,de novo
CD19_l112_nonint_2659,HLA-C1203,2,7,95,de novo
CD19_l112_nonint_2659,HLA-C1402,2,5,97,de novo
CD19_l112_nonint_2659,HLA-C1502,1,6,97,de novo
CD19_l112_nonint_4030,HLA-A0101,1,1,102,de novo
CD19_l112_nonint_4030,HLA-A0201,2,2,100,de novo
CD19_l112_nonint_4030,HLA-A0202,3,3,98,de novo
CD19_l112_nonint_4030,HLA-A0203,0,2,102,de novo
CD19_l112_nonint_4030,HLA-A0205,0,3,101,de novo
CD19_l112_nonint_4030,HLA-A0206,3,1,100,de novo
CD19_l112_nonint_4030,HLA-A0207,1,3,100,de novo
CD19_l112_nonint_4030,HLA-A0211,3,8,93,de novo
CD19_l112_nonint_4030,HLA-A0212,2,5,97,de novo
CD19_l112_nonint_4030,HLA-A0216,3,6,95,de novo
CD19_l112_nonint_4030,HLA-A0217,1,6,97,de novo
CD19_l112_nonint_4030,HLA-A0219,3,3,98,de novo
CD19_l112_nonint_4030,HLA-A0250,3,5,96,de novo
CD19_l112_nonint_4030,HLA-A0301,0,1,103,de novo
CD19_l112_nonint_4030,HLA-A1101,0,2,102,de novo
CD19_l112_nonint_4030,HLA-A2301,0,1,103,de novo
CD19_l112_nonint_4030,HLA-A2402,0,1,103,de novo
CD19_l112_nonint_4030,HLA-A2403,1,2,101,de novo
CD19_l112_nonint_4030,HLA-A2501,0,10,94,de novo
CD19_l112_nonint_4030,HLA-A2601,0,6,98,de novo
CD19_l112_nonint_4030,HLA-A2602,2,8,94,de novo
CD19_l112_nonint_4030,HLA-A2603,1,9,94,de novo
CD19_l112_nonint_4030,HLA-A2902,1,2,101,de novo
CD19_l112_nonint_4030,HLA-A3001,2,3,99,de novo
CD19_l112_nonint_4030,HLA-A3002,1,2,101,de novo
CD19_l112_nonint_4030,HLA-A3101,0,1,103,de novo
CD19_l112_nonint_4030,HLA-A3201,1,6,97,de novo
CD19_l112_nonint_4030,HLA-A3207,1,8,95,de novo
CD19_l112_nonint_4030,HLA-A3215,1,4,99,de novo
CD19_l112_nonint_4030,HLA-A3301,0,2,102,de novo
CD19_l112_nonint_4030,HLA-A6601,3,6,95,de novo
CD19_l112_nonint_4030,HLA-A6801,0,3,101,de novo
CD19_l112_nonint_4030,HLA-A6802,1,6,97,de novo
CD19_l112_nonint_4030,HLA-A6823,2,5,97,de novo
CD19_l112_nonint_4030,HLA-A6901,2,9,93,de novo
CD19_l112_nonint_4030,HLA-A8001,1,3,100,de novo
CD19_l112_nonint_4030,HLA-B0702,1,4,99,de novo
CD19_l112_nonint_4030,HLA-B0801,1,4,99,de novo
CD19_l112_nonint_4030,HLA-B0802,1,8,95,de novo
CD19_l112_nonint_4030,HLA-B0803,4,7,93,de novo
CD19_l112_nonint_4030,HLA-B1402,4,4,96,de novo
CD19_l112_nonint_4030,HLA-B1501,1,2,101,de novo
CD19_l112_nonint_4030,HLA-B1502,2,6,96,de novo
CD19_l112_nonint_4030,HLA-B1503,1,6,97,de novo
CD19_l112_nonint_4030,HLA-B1509,2,7,95,de novo
CD19_l112_nonint_4030,HLA-B1517,2,4,98,de novo
CD19_l112_nonint_4030,HLA-B1801,0,0,104,de novo
CD19_l112_nonint_4030,HLA-B2705,0,1,103,de novo
CD19_l112_nonint_4030,HLA-B2720,0,2,102,de novo
CD19_l112_nonint_4030,HLA-B3501,1,6,97,de novo
CD19_l112_nonint_4030,HLA-B3503,1,2,101,de novo
CD19_l112_nonint_4030,HLA-B3801,0,0,104,de novo
CD19_l112_nonint_4030,HLA-B3901,4,7,93,de novo
CD19_l112_nonint_4030,HLA-B4001,0,0,104,de novo
CD19_l112_nonint_4030,HLA-B4002,0,2,102,de novo
CD19_l112_nonint_4030,HLA-B4013,0,3,101,de novo
CD19_l112_nonint_4030,HLA-B4201,1,3,100,de novo
CD19_l112_nonint_4030,HLA-B4402,0,4,100,de novo
CD19_l112_nonint_4030,HLA-B4403,0,0,104,de novo
CD19_l112_nonint_4030,HLA-B4501,1,2,101,de novo
CD19_l112_nonint_4030,HLA-B4601,1,5,98,de novo
CD19_l112_nonint_4030,HLA-B4801,0,5,99,de novo
CD19_l112_nonint_4030,HLA-B5101,2,2,100,de novo
CD19_l112_nonint_4030,HLA-B5301,1,1,102,de novo
CD19_l112_nonint_4030,HLA-B5401,2,2,100,de novo
CD19_l112_nonint_4030,HLA-B5701,2,0,102,de novo
CD19_l112_nonint_4030,HLA-B5801,2,1,101,de novo
CD19_l112_nonint_4030,HLA-B5802,0,3,101,de novo
CD19_l112_nonint_4030,HLA-B7301,0,4,100,de novo
CD19_l112_nonint_4030,HLA-B8301,1,3,100,de novo
CD19_l112_nonint_4030,HLA-C0303,1,7,96,de novo
CD19_l112_nonint_4030,HLA-C0401,0,5,99,de novo
CD19_l112_nonint_4030,HLA-C0501,2,6,96,de novo
CD19_l112_nonint_4030,HLA-C0602,2,5,97,de novo
CD19_l112_nonint_4030,HLA-C0701,1,7,96,de novo
CD19_l112_nonint_4030,HLA-C0702,1,7,96,de novo
CD19_l112_nonint_4030,HLA-C0802,3,4,97,de novo
CD19_l112_nonint_4030,HLA-C1203,1,5,98,de novo
CD19_l112_nonint_4030,HLA-C1402,3,3,98,de novo
CD19_l112_nonint_4030,HLA-C1502,0,6,98,de novo
CD19_l112_int_2114,HLA-A0101,0,2,102,de novo
CD19_l112_int_2114,HLA-A0201,0,5,99,de novo
CD19_l112_int_2114,HLA-A0202,2,3,99,de novo
CD19_l112_int_2114,HLA-A0203,0,3,101,de novo
CD19_l112_int_2114,HLA-A0205,0,3,101,de novo
CD19_l112_int_2114,HLA-A0206,1,7,96,de novo
CD19_l112_int_2114,HLA-A0207,1,3,100,de novo
CD19_l112_int_2114,HLA-A0211,3,6,95,de novo
CD19_l112_int_2114,HLA-A0212,4,3,97,de novo
CD19_l112_int_2114,HLA-A0216,4,4,96,de novo
CD19_l112_int_2114,HLA-A0217,0,4,100,de novo
CD19_l112_int_2114,HLA-A0219,2,4,98,de novo
CD19_l112_int_2114,HLA-A0250,2,7,95,de novo
CD19_l112_int_2114,HLA-A0301,0,0,104,de novo
CD19_l112_int_2114,HLA-A1101,0,0,104,de novo
CD19_l112_int_2114,HLA-A2301,0,3,101,de novo
CD19_l112_int_2114,HLA-A2402,0,2,102,de novo
CD19_l112_int_2114,HLA-A2403,2,2,100,de novo
CD19_l112_int_2114,HLA-A2501,0,9,95,de novo
CD19_l112_int_2114,HLA-A2601,0,8,96,de novo
CD19_l112_int_2114,HLA-A2602,2,5,97,de novo
CD19_l112_int_2114,HLA-A2603,4,4,96,de novo
CD19_l112_int_2114,HLA-A2902,1,1,102,de novo
CD19_l112_int_2114,HLA-A3001,0,4,100,de novo
CD19_l112_int_2114,HLA-A3002,0,3,101,de novo
CD19_l112_int_2114,HLA-A3101,0,0,104,de novo
CD19_l112_int_2114,HLA-A3201,1,2,101,de novo
CD19_l112_int_2114,HLA-A3207,4,3,97,de novo
CD19_l112_int_2114,HLA-A3215,2,6,96,de novo
CD19_l112_int_2114,HLA-A3301,0,1,103,de novo
CD19_l112_int_2114,HLA-A6601,3,4,97,de novo
CD19_l112_int_2114,HLA-A6801,0,2,102,de novo
CD19_l112_int_2114,HLA-A6802,0,2,102,de novo
CD19_l112_int_2114,HLA-A6823,1,4,99,de novo
CD19_l112_int_2114,HLA-A6901,1,11,92,de novo
CD19_l112_int_2114,HLA-A8001,1,3,100,de novo
CD19_l112_int_2114,HLA-B0702,0,3,101,de novo
CD19_l112_int_2114,HLA-B0801,2,1,101,de novo
CD19_l112_int_2114,HLA-B0802,3,5,96,de novo
CD19_l112_int_2114,HLA-B0803,5,6,93,de novo
CD19_l112_int_2114,HLA-B1402,1,4,99,de novo
CD19_l112_int_2114,HLA-B1501,0,3,101,de novo
CD19_l112_int_2114,HLA-B1502,2,3,99,de novo
CD19_l112_int_2114,HLA-B1503,1,3,100,de novo
CD19_l112_int_2114,HLA-B1509,0,5,99,de novo
CD19_l112_int_2114,HLA-B1517,1,5,98,de novo
CD19_l112_int_2114,HLA-B1801,1,0,103,de novo
CD19_l112_int_2114,HLA-B2705,0,0,104,de novo
CD19_l112_int_2114,HLA-B2720,0,3,101,de novo
CD19_l112_int_2114,HLA-B3501,2,5,97,de novo
CD19_l112_int_2114,HLA-B3503,1,3,100,de novo
CD19_l112_int_2114,HLA-B3801,0,4,100,de novo
CD19_l112_int_2114,HLA-B3901,1,4,99,de novo
CD19_l112_int_2114,HLA-B4001,1,2,101,de novo
CD19_l112_int_2114,HLA-B4002,1,1,102,de novo
CD19_l112_int_2114,HLA-B4013,0,4,100,de novo
CD19_l112_int_2114,HLA-B4201,1,4,99,de novo
CD19_l112_int_2114,HLA-B4402,0,4,100,de novo
CD19_l112_int_2114,HLA-B4403,0,2,102,de novo
CD19_l112_int_2114,HLA-B4501,0,2,102,de novo
CD19_l112_int_2114,HLA-B4601,2,3,99,de novo
CD19_l112_int_2114,HLA-B4801,1,3,100,de novo
CD19_l112_int_2114,HLA-B5101,1,1,102,de novo
CD19_l112_int_2114,HLA-B5301,0,3,101,de novo
CD19_l112_int_2114,HLA-B5401,0,3,101,de novo
CD19_l112_int_2114,HLA-B5701,0,2,102,de novo
CD19_l112_int_2114,HLA-B5801,1,2,101,de novo
CD19_l112_int_2114,HLA-B5802,1,1,102,de novo
CD19_l112_int_2114,HLA-B7301,0,3,101,de novo
CD19_l112_int_2114,HLA-B8301,2,8,94,de novo
CD19_l112_int_2114,HLA-C0303,3,7,94,de novo
CD19_l112_int_2114,HLA-C0401,0,8,96,de novo
CD19_l112_int_2114,HLA-C0501,3,4,97,de novo
CD19_l112_int_2114,HLA-C0602,0,5,99,de novo
CD19_l112_int_2114,HLA-C0701,2,3,99,de novo
CD19_l112_int_2114,HLA-C0702,1,6,97,de novo
CD19_l112_int_2114,HLA-C0802,3,3,98,de novo
CD19_l112_int_2114,HLA-C1203,3,5,96,de novo
CD19_l112_int_2114,HLA-C1402,2,5,97,de novo
CD19_l112_int_2114,HLA-C1502,2,3,99,de novo
CD19_l112_int_4756,HLA-A0101,1,3,100,de novo
CD19_l112_int_4756,HLA-A0201,2,3,99,de novo
CD19_l112_int_4756,HLA-A0202,4,1,99,de novo
CD19_l112_int_4756,HLA-A0203,0,3,101,de novo
CD19_l112_int_4756,HLA-A0205,0,2,102,de novo
CD19_l112_int_4756,HLA-A0206,1,8,95,de novo
CD19_l112_int_4756,HLA-A0207,1,1,102,de novo
CD19_l112_int_4756,HLA-A0211,3,6,95,de novo
CD19_l112_int_4756,HLA-A0212,4,3,97,de novo
CD19_l112_int_4756,HLA-A0216,3,6,95,de novo
CD19_l112_int_4756,HLA-A0217,2,3,99,de novo
CD19_l112_int_4756,HLA-A0219,3,2,99,de novo
CD19_l112_int_4756,HLA-A0250,5,4,95,de novo
CD19_l112_int_4756,HLA-A0301,0,0,104,de novo
CD19_l112_int_4756,HLA-A1101,0,0,104,de novo
CD19_l112_int_4756,HLA-A2301,0,2,102,de novo
CD19_l112_int_4756,HLA-A2402,0,1,103,de novo
CD19_l112_int_4756,HLA-A2403,1,4,99,de novo
CD19_l112_int_4756,HLA-A2501,0,8,96,de novo
CD19_l112_int_4756,HLA-A2601,0,6,98,de novo
CD19_l112_int_4756,HLA-A2602,1,7,96,de novo
CD19_l112_int_4756,HLA-A2603,2,5,97,de novo
CD19_l112_int_4756,HLA-A2902,0,1,103,de novo
CD19_l112_int_4756,HLA-A3001,1,3,100,de novo
CD19_l112_int_4756,HLA-A3002,1,2,101,de novo
CD19_l112_int_4756,HLA-A3101,0,0,104,de novo
CD19_l112_int_4756,HLA-A3201,0,2,102,de novo
CD19_l112_int_4756,HLA-A3207,2,5,97,de novo
CD19_l112_int_4756,HLA-A3215,0,4,100,de novo
CD19_l112_int_4756,HLA-A3301,0,1,103,de novo
CD19_l112_int_4756,HLA-A6601,2,4,98,de novo
CD19_l112_int_4756,HLA-A6801,0,2,102,de novo
CD19_l112_int_4756,HLA-A6802,0,1,103,de novo
CD19_l112_int_4756,HLA-A6823,1,4,99,de novo
CD19_l112_int_4756,HLA-A6901,1,6,97,de novo
CD19_l112_int_4756,HLA-A8001,1,5,98,de novo
CD19_l112_int_4756,HLA-B0702,0,3,101,de novo
CD19_l112_int_4756,HLA-B0801,1,2,101,de novo
CD19_l112_int_4756,HLA-B0802,1,6,97,de novo
CD19_l112_int_4756,HLA-B0803,4,7,93,de novo
CD19_l112_int_4756,HLA-B1402,1,4,99,de novo
CD19_l112_int_4756,HLA-B1501,0,3,101,de novo
CD19_l112_int_4756,HLA-B1502,1,3,100,de novo
CD19_l112_int_4756,HLA-B1503,0,4,100,de novo
CD19_l112_int_4756,HLA-B1509,0,5,99,de novo
CD19_l112_int_4756,HLA-B1517,1,4,99,de novo
CD19_l112_int_4756,HLA-B1801,0,1,103,de novo
CD19_l112_int_4756,HLA-B2705,0,0,104,de novo
CD19_l112_int_4756,HLA-B2720,0,3,101,de novo
CD19_l112_int_4756,HLA-B3501,2,3,99,de novo
CD19_l112_int_4756,HLA-B3503,1,1,102,de novo
CD19_l112_int_4756,HLA-B3801,0,3,101,de novo
CD19_l112_int_4756,HLA-B3901,0,3,101,de novo
CD19_l112_int_4756,HLA-B4001,1,0,103,de novo
CD19_l112_int_4756,HLA-B4002,0,2,102,de novo
CD19_l112_int_4756,HLA-B4013,1,1,102,de novo
CD19_l112_int_4756,HLA-B4201,0,7,97,de novo
CD19_l112_int_4756,HLA-B4402,0,3,101,de novo
CD19_l112_int_4756,HLA-B4403,0,1,103,de novo
CD19_l112_int_4756,HLA-B4501,0,3,101,de novo
CD19_l112_int_4756,HLA-B4601,1,4,99,de novo
CD19_l112_int_4756,HLA-B4801,1,4,99,de novo
CD19_l112_int_4756,HLA-B5101,1,1,102,de novo
CD19_l112_int_4756,HLA-B5301,0,1,103,de novo
CD19_l112_int_4756,HLA-B5401,0,3,101,de novo
CD19_l112_int_4756,HLA-B5701,0,2,102,de novo
CD19_l112_int_4756,HLA-B5801,1,0,103,de novo
CD19_l112_int_4756,HLA-B5802,0,1,103,de novo
CD19_l112_int_4756,HLA-B7301,0,3,101,de novo
CD19_l112_int_4756,HLA-B8301,1,5,98,de novo
CD19_l112_int_4756,HLA-C0303,2,4,98,de novo
CD19_l112_int_4756,HLA-C0401,1,9,94,de novo
CD19_l112_int_4756,HLA-C0501,3,2,99,de novo
CD19_l112_int_4756,HLA-C0602,0,7,97,de novo
CD19_l112_int_4756,HLA-C0701,2,4,98,de novo
CD19_l112_int_4756,HLA-C0702,1,3,100,de novo
CD19_l112_int_4756,HLA-C0802,4,2,98,de novo
CD19_l112_int_4756,HLA-C1203,1,5,98,de novo
CD19_l112_int_4756,HLA-C1402,1,4,99,de novo
CD19_l112_int_4756,HLA-C1502,2,4,98,de novo
CD19_l112_int_4066,HLA-A0101,1,2,101,de novo
CD19_l112_int_4066,HLA-A0201,1,3,100,de novo
CD19_l112_int_4066,HLA-A0202,2,3,99,de novo
CD19_l112_int_4066,HLA-A0203,0,2,102,de novo
CD19_l112_int_4066,HLA-A0205,0,1,103,de novo
CD19_l112_int_4066,HLA-A0206,1,5,98,de novo
CD19_l112_int_4066,HLA-A0207,1,4,99,de novo
CD19_l112_int_4066,HLA-A0211,3,6,95,de novo
CD19_l112_int_4066,HLA-A0212,4,2,98,de novo
CD19_l112_int_4066,HLA-A0216,4,4,96,de novo
CD19_l112_int_4066,HLA-A0217,0,4,100,de novo
CD19_l112_int_4066,HLA-A0219,2,5,97,de novo
CD19_l112_int_4066,HLA-A0250,2,7,95,de novo
CD19_l112_int_4066,HLA-A0301,0,0,104,de novo
CD19_l112_int_4066,HLA-A1101,0,0,104,de novo
CD19_l112_int_4066,HLA-A2301,0,3,101,de novo
CD19_l112_int_4066,HLA-A2402,1,1,102,de novo
CD19_l112_int_4066,HLA-A2403,2,3,99,de novo
CD19_l112_int_4066,HLA-A2501,0,9,95,de novo
CD19_l112_int_4066,HLA-A2601,1,6,97,de novo
CD19_l112_int_4066,HLA-A2602,3,6,95,de novo
CD19_l112_int_4066,HLA-A2603,4,3,97,de novo
CD19_l112_int_4066,HLA-A2902,0,2,102,de novo
CD19_l112_int_4066,HLA-A3001,1,3,100,de novo
CD19_l112_int_4066,HLA-A3002,1,2,101,de novo
CD19_l112_int_4066,HLA-A3101,0,0,104,de novo
CD19_l112_int_4066,HLA-A3201,1,1,102,de novo
CD19_l112_int_4066,HLA-A3207,2,7,95,de novo
CD19_l112_int_4066,HLA-A3215,1,4,99,de novo
CD19_l112_int_4066,HLA-A3301,0,1,103,de novo
CD19_l112_int_4066,HLA-A6601,2,4,98,de novo
CD19_l112_int_4066,HLA-A6801,0,2,102,de novo
CD19_l112_int_4066,HLA-A6802,1,2,101,de novo
CD19_l112_int_4066,HLA-A6823,1,3,100,de novo
CD19_l112_int_4066,HLA-A6901,2,7,95,de novo
CD19_l112_int_4066,HLA-A8001,1,4,99,de novo
CD19_l112_int_4066,HLA-B0702,0,3,101,de novo
CD19_l112_int_4066,HLA-B0801,2,1,101,de novo
CD19_l112_int_4066,HLA-B0802,2,7,95,de novo
CD19_l112_int_4066,HLA-B0803,4,8,92,de novo
CD19_l112_int_4066,HLA-B1402,2,3,99,de novo
CD19_l112_int_4066,HLA-B1501,0,3,101,de novo
CD19_l112_int_4066,HLA-B1502,1,2,101,de novo
CD19_l112_int_4066,HLA-B1503,2,3,99,de novo
CD19_l112_int_4066,HLA-B1509,0,4,100,de novo
CD19_l112_int_4066,HLA-B1517,1,4,99,de novo
CD19_l112_int_4066,HLA-B1801,1,0,103,de novo
CD19_l112_int_4066,HLA-B2705,0,0,104,de novo
CD19_l112_int_4066,HLA-B2720,0,3,101,de novo
CD19_l112_int_4066,HLA-B3501,1,3,100,de novo
CD19_l112_int_4066,HLA-B3503,1,3,100,de novo
CD19_l112_int_4066,HLA-B3801,0,5,99,de novo
CD19_l112_int_4066,HLA-B3901,0,3,101,de novo
CD19_l112_int_4066,HLA-B4001,1,1,102,de novo
CD19_l112_int_4066,HLA-B4002,1,1,102,de novo
CD19_l112_int_4066,HLA-B4013,0,5,99,de novo
CD19_l112_int_4066,HLA-B4201,0,5,99,de novo
CD19_l112_int_4066,HLA-B4402,0,3,101,de novo
CD19_l112_int_4066,HLA-B4403,0,2,102,de novo
CD19_l112_int_4066,HLA-B4501,0,3,101,de novo
CD19_l112_int_4066,HLA-B4601,1,2,101,de novo
CD19_l112_int_4066,HLA-B4801,1,2,101,de novo
CD19_l112_int_4066,HLA-B5101,1,2,101,de novo
CD19_l112_int_4066,HLA-B5301,0,3,101,de novo
CD19_l112_int_4066,HLA-B5401,0,3,101,de novo
CD19_l112_int_4066,HLA-B5701,0,2,102,de novo
CD19_l112_int_4066,HLA-B5801,1,2,101,de novo
CD19_l112_int_4066,HLA-B5802,1,2,101,de novo
CD19_l112_int_4066,HLA-B7301,0,3,101,de novo
CD19_l112_int_4066,HLA-B8301,2,7,95,de novo
CD19_l112_int_4066,HLA-C0303,2,6,96,de novo
CD19_l112_int_4066,HLA-C0401,0,7,97,de novo
CD19_l112_int_4066,HLA-C0501,3,4,97,de novo
CD19_l112_int_4066,HLA-C0602,0,4,100,de novo
CD19_l112_int_4066,HLA-C0701,2,3,99,de novo
CD19_l112_int_4066,HLA-C0702,2,3,99,de novo
CD19_l112_int_4066,HLA-C0802,3,3,98,de novo
CD19_l112_int_4066,HLA-C1203,2,8,94,de novo
CD19_l112_int_4066,HLA-C1402,0,6,98,de novo
CD19_l112_int_4066,HLA-C1502,5,2,97,de novo
CD19_l112_int_4372,HLA-A0101,1,3,100,de novo
CD19_l112_int_4372,HLA-A0201,1,3,100,de novo
CD19_l112_int_4372,HLA-A0202,2,3,99,de novo
CD19_l112_int_4372,HLA-A0203,0,3,101,de novo
CD19_l112_int_4372,HLA-A0205,0,2,102,de novo
CD19_l112_int_4372,HLA-A0206,2,8,94,de novo
CD19_l112_int_4372,HLA-A0207,1,2,101,de novo
CD19_l112_int_4372,HLA-A0211,4,9,91,de novo
CD19_l112_int_4372,HLA-A0212,4,4,96,de novo
CD19_l112_int_4372,HLA-A0216,4,8,92,de novo
CD19_l112_int_4372,HLA-A0217,0,5,99,de novo
CD19_l112_int_4372,HLA-A0219,2,5,97,de novo
CD19_l112_int_4372,HLA-A0250,4,5,95,de novo
CD19_l112_int_4372,HLA-A0301,0,0,104,de novo
CD19_l112_int_4372,HLA-A1101,0,0,104,de novo
CD19_l112_int_4372,HLA-A2301,0,3,101,de novo
CD19_l112_int_4372,HLA-A2402,0,2,102,de novo
CD19_l112_int_4372,HLA-A2403,2,3,99,de novo
CD19_l112_int_4372,HLA-A2501,0,9,95,de novo
CD19_l112_int_4372,HLA-A2601,1,7,96,de novo
CD19_l112_int_4372,HLA-A2602,2,6,96,de novo
CD19_l112_int_4372,HLA-A2603,3,4,97,de novo
CD19_l112_int_4372,HLA-A2902,1,2,101,de novo
CD19_l112_int_4372,HLA-A3001,0,3,101,de novo
CD19_l112_int_4372,HLA-A3002,2,2,100,de novo
CD19_l112_int_4372,HLA-A3101,0,0,104,de novo
CD19_l112_int_4372,HLA-A3201,1,2,101,de novo
CD19_l112_int_4372,HLA-A3207,3,5,96,de novo
CD19_l112_int_4372,HLA-A3215,2,4,98,de novo
CD19_l112_int_4372,HLA-A3301,0,1,103,de novo
CD19_l112_int_4372,HLA-A6601,4,3,97,de novo
CD19_l112_int_4372,HLA-A6801,0,2,102,de novo
CD19_l112_int_4372,HLA-A6802,1,1,102,de novo
CD19_l112_int_4372,HLA-A6823,1,6,97,de novo
CD19_l112_int_4372,HLA-A6901,2,9,93,de novo
CD19_l112_int_4372,HLA-A8001,1,5,98,de novo
CD19_l112_int_4372,HLA-B0702,0,3,101,de novo
CD19_l112_int_4372,HLA-B0801,2,1,101,de novo
CD19_l112_int_4372,HLA-B0802,3,6,95,de novo
CD19_l112_int_4372,HLA-B0803,5,6,93,de novo
CD19_l112_int_4372,HLA-B1402,0,7,97,de novo
CD19_l112_int_4372,HLA-B1501,0,4,100,de novo
CD19_l112_int_4372,HLA-B1502,1,4,99,de novo
CD19_l112_int_4372,HLA-B1503,1,4,99,de novo
CD19_l112_int_4372,HLA-B1509,0,4,100,de novo
CD19_l112_int_4372,HLA-B1517,2,5,97,de novo
CD19_l112_int_4372,HLA-B1801,1,0,103,de novo
CD19_l112_int_4372,HLA-B2705,0,0,104,de novo
CD19_l112_int_4372,HLA-B2720,0,3,101,de novo
CD19_l112_int_4372,HLA-B3501,2,5,97,de novo
CD19_l112_int_4372,HLA-B3503,1,3,100,de novo
CD19_l112_int_4372,HLA-B3801,0,4,100,de novo
CD19_l112_int_4372,HLA-B3901,0,4,100,de novo
